"","TAGNUMBER","TANK_Real","condition1","SGR","condition2","Interval_Days","condition3","Date","condition4","Days_in_Exp"
"161","00186D1650",151,"SGR_7",1.90221417611247,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"162","00186D1651",202,"SGR_1",2.79201425045448,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"163","00186D1651",202,"SGR_2",2.67490907797934,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"164","00186D1651",202,"SGR_3",2.34817743559406,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"165","00186D1651",202,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"166","00186D1651",202,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"167","00186D1651",202,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"168","00186D1651",202,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"169","00186D1652",201,"SGR_1",1.96962839859378,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"170","00186D1652",201,"SGR_2",NA,"T3minusT1",NA,"T3",NA,"Day_in_Exp_T3",NA
"171","00186D1652",201,"SGR_3",NA,"T4minusT1",NA,"T4",NA,"Day_in_Exp_T4",NA
"172","00186D1652",201,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"173","00186D1652",201,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"174","00186D1652",201,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"175","00186D1652",201,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"176","00186D1653",201,"SGR_1",2.95206976793485,"T2minusT1",27,"T2",2021-08-25,"Day_in_Exp_T2",20
"177","00186D1653",201,"SGR_2",NA,"T3minusT1",NA,"T3",NA,"Day_in_Exp_T3",NA
"178","00186D1653",201,"SGR_3",NA,"T4minusT1",NA,"T4",NA,"Day_in_Exp_T4",NA
"179","00186D1653",201,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"180","00186D1653",201,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"181","00186D1653",201,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"182","00186D1653",201,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"183","00186D1654",152,"SGR_1",3.2944905700578,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"184","00186D1654",152,"SGR_2",3.11013322334528,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"185","00186D1654",152,"SGR_3",2.65472097229116,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"186","00186D1654",152,"SGR_4",2.40441737315322,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"187","00186D1654",152,"SGR_5",2.18997833895853,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"188","00186D1654",152,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"189","00186D1654",152,"SGR_7",1.78061615945928,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"190","00186D1655",202,"SGR_1",2.55690037998486,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"191","00186D1655",202,"SGR_2",2.24996193690974,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"192","00186D1655",202,"SGR_3",2.11599733055594,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"193","00186D1655",202,"SGR_4",2.09740241199199,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"194","00186D1655",202,"SGR_5",1.85902622684868,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"195","00186D1655",202,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"196","00186D1655",202,"SGR_7",1.500796905617,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"197","00186D1656",202,"SGR_1",3.26988383078417,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"198","00186D1656",202,"SGR_2",2.61321850853122,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"199","00186D1656",202,"SGR_3",2.64781080827574,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"200","00186D1656",202,"SGR_4",2.46498718592425,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"201","00186D1656",202,"SGR_5",2.27412677937893,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"202","00186D1656",202,"SGR_6",2.05893165351545,"T7minusT1",190,"T7",2022-02-04,"Day_in_Exp_T7",190
"203","00186D1656",202,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"204","00186D1657",152,"SGR_1",3.45205114301428,"T2minusT1",26,"T2",2021-08-24,"Day_in_Exp_T2",20
"205","00186D1657",152,"SGR_2",NA,"T3minusT1",NA,"T3",NA,"Day_in_Exp_T3",NA
"206","00186D1657",152,"SGR_3",NA,"T4minusT1",NA,"T4",NA,"Day_in_Exp_T4",NA
"207","00186D1657",152,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
