"","TAGNUMBER","TANK_Real","condition1","SGR","condition2","Interval_Days"
"324","00186D1670",201,"SGR_6",1.57951846459132,"T7minusT1",244
"325","00186D1671",201,"SGR_1",3.65069173727062,"T2minusT1",32
"326","00186D1671",201,"SGR_2",2.97310114705931,"T3minusT1",62
"327","00186D1671",201,"SGR_3",2.76629371484935,"T4minusT1",98
"328","00186D1671",201,"SGR_4",2.38048663472801,"T5minusT1",133
"329","00186D1671",201,"SGR_5",2.17596724350335,"T6minusT1",161
"330","00186D1671",201,"SGR_6",1.77250473125226,"T7minusT1",244
"331","00186D1672",151,"SGR_1",2.63759496527616,"T2minusT1",26
"332","00186D1672",151,"SGR_2",NA,"T3minusT1",NA
"333","00186D1672",151,"SGR_3",NA,"T4minusT1",NA
"334","00186D1672",151,"SGR_4",NA,"T5minusT1",NA
"335","00186D1672",151,"SGR_5",NA,"T6minusT1",NA
"336","00186D1672",151,"SGR_6",NA,"T7minusT1",NA
"337","00186D1673",151,"SGR_1",3.41487096616913,"T2minusT1",32
"338","00186D1673",151,"SGR_2",3.20523530706118,"T3minusT1",62
"339","00186D1673",151,"SGR_3",2.72414047665839,"T4minusT1",98
"340","00186D1673",151,"SGR_4",2.42966727281348,"T5minusT1",133
"341","00186D1673",151,"SGR_5",2.27181439422168,"T6minusT1",161
"342","00186D1673",151,"SGR_6",1.91238733584691,"T7minusT1",244
"343","00186D1674",202,"SGR_1",3.21175116862575,"T2minusT1",32
"344","00186D1674",202,"SGR_2",1.82638581188121,"T3minusT1",62
"345","00186D1674",202,"SGR_3",2.25907428890189,"T4minusT1",98
"346","00186D1674",202,"SGR_4",NA,"T5minusT1",NA
"347","00186D1674",202,"SGR_5",NA,"T6minusT1",NA
"348","00186D1674",202,"SGR_6",NA,"T7minusT1",NA
"349","00186D1675",152,"SGR_1",3.26988383078417,"T2minusT1",32
"350","00186D1675",152,"SGR_2",3.38278751089707,"T3minusT1",62
"351","00186D1675",152,"SGR_3",3.02774958419976,"T4minusT1",98
"352","00186D1675",152,"SGR_4",2.78354284590121,"T5minusT1",133
"353","00186D1675",152,"SGR_5",2.57850846427783,"T6minusT1",161
"354","00186D1675",152,"SGR_6",2.38570105709484,"T7minusT1",190
"355","00186D1676",202,"SGR_1",2.66835121068942,"T2minusT1",32
"356","00186D1676",202,"SGR_2",2.27439246771772,"T3minusT1",62
"357","00186D1676",202,"SGR_3",2.26364213839969,"T4minusT1",98
"358","00186D1676",202,"SGR_4",2.23724549636035,"T5minusT1",133
"359","00186D1676",202,"SGR_5",2.01778429953869,"T6minusT1",161
"360","00186D1676",202,"SGR_6",1.73865681508993,"T7minusT1",198
"361","00186D1677",151,"SGR_1",3.19214587492733,"T2minusT1",32
"362","00186D1677",151,"SGR_2",3.39685998090615,"T3minusT1",62
"363","00186D1677",151,"SGR_3",2.79248454693357,"T4minusT1",98
"364","00186D1677",151,"SGR_4",2.77412686803689,"T5minusT1",133
"365","00186D1677",151,"SGR_5",2.59176161888355,"T6minusT1",161
"366","00186D1677",151,"SGR_6",2.14055070433552,"T7minusT1",244
"367","00186D1678",151,"SGR_1",2.41027635654452,"T2minusT1",32
"368","00186D1678",151,"SGR_2",2.481624014288,"T3minusT1",62
"369","00186D1678",151,"SGR_3",1.9283594519981,"T4minusT1",98
"370","00186D1678",151,"SGR_4",1.67780916020861,"T5minusT1",133
"371","00186D1678",151,"SGR_5",1.60935243217066,"T6minusT1",161
"372","00186D1678",151,"SGR_6",1.53075340763462,"T7minusT1",190
"373","00186D1679",202,"SGR_1",1.95333017266976,"T2minusT1",32
"374","00186D1679",202,"SGR_2",0.49376607439251,"T3minusT1",62
"375","00186D1679",202,"SGR_3",NA,"T4minusT1",NA
"376","00186D1679",202,"SGR_4",NA,"T5minusT1",NA
"377","00186D1679",202,"SGR_5",NA,"T6minusT1",NA
"378","00186D1679",202,"SGR_6",NA,"T7minusT1",NA
"379","00186D167A",201,"SGR_1",3.21175116862575,"T2minusT1",32
"380","00186D167A",201,"SGR_2",1.96907146833234,"T3minusT1",62
"381","00186D167A",201,"SGR_3",1.37156683329671,"T4minusT1",98
"382","00186D167A",201,"SGR_4",NA,"T5minusT1",NA
"383","00186D167A",201,"SGR_5",NA,"T6minusT1",NA
"384","00186D167A",201,"SGR_6",NA,"T7minusT1",NA
"385","00186D167B",201,"SGR_1",2.7857507075342,"T2minusT1",32
"386","00186D167B",201,"SGR_2",1.97575278960194,"T3minusT1",62
"387","00186D167B",201,"SGR_3",1.97807794082663,"T4minusT1",98
"388","00186D167B",201,"SGR_4",1.88881004733656,"T5minusT1",133
"389","00186D167B",201,"SGR_5",1.83035350856475,"T6minusT1",161
"390","00186D167B",201,"SGR_6",1.71245633151353,"T7minusT1",190
"391","00186D167C",151,"SGR_1",3.37732354296283,"T2minusT1",32
"392","00186D167C",151,"SGR_2",3.33220958649156,"T3minusT1",62
"393","00186D167C",151,"SGR_3",2.72950229331597,"T4minusT1",98
