"","X","TAGNUMBER","tank","condition1","WEIGHT","condition2","LENGTH","time_step","TIME","condition4","Days_in_Exp","ConditionFactor","temp","rdate","ConditionFactor_relative","residuals"
"202",202,"00186D1653","201","WEIGHT_2",6.8,"LENGTH_2",86,"T2","2021-08-25","Day_in_Exp_T2",20,1.06908825637994,"20",2021-08-25,0.89039187970969,-0.07022377090267
"209",209,"00186D1654","152","WEIGHT_1",2.8,"LENGTH_1",62,"T1","2021-07-29","Day_in_Exp_T1",0,1.17485146520761,"15",2021-07-29,1.00607340598533,0.086649578233444
"210",210,"00186D1654","152","WEIGHT_2",7.9,"LENGTH_2",88,"T2","2021-08-30","Day_in_Exp_T2",20,1.15925525920361,"15",2021-08-30,0.963602787625456,0.056104996596176
"211",211,"00186D1654","152","WEIGHT_3",18.7,"LENGTH_3",118,"T3","2021-09-29","Day_in_Exp_T3",62,1.13813973191027,"15",2021-09-29,0.922753314829123,0.0119941884404573
"212",212,"00186D1654","152","WEIGHT_4",36.5,"LENGTH_4",147,"T4","2021-11-04","Day_in_Exp_T4",98,1.14905511466468,"15",2021-11-04,0.914363511369555,-0.00111703411865527
"213",213,"00186D1654","152","WEIGHT_5",66,"LENGTH_5",180,"T5","2021-12-09","Day_in_Exp_T5",133,1.13168724279835,"15",2021-12-09,0.885173201604226,-0.0326840129842417
"214",214,"00186D1654","152","WEIGHT_6",91.6,"LENGTH_6",204,"T6","2022-01-06","Day_in_Exp_T6",161,1.07895907305637,"15",2022-01-06,0.834999868635039,-0.0729165427305477
"216",216,"00186D1654","152","WEIGHT_8",207.7,"LENGTH_8",265,"T8","2022-03-30","Day_in_Exp_T8",244,1.11608912054918,"15",2022-03-30,0.844739836854484,-0.0507424146857793
"217",217,"00186D1655","202","WEIGHT_1",3.7,"LENGTH_1",71,"T1","2021-07-29","Day_in_Exp_T1",0,1.03377655338897,"20",2021-07-29,0.875124249613205,-0.0158304475280756
"218",218,"00186D1655","202","WEIGHT_2",8.3,"LENGTH_2",90,"T2","2021-08-30","Day_in_Exp_T2",20,1.13854595336077,"20",2021-08-30,0.944582620680346,-0.000288293833801023
"219",219,"00186D1655","202","WEIGHT_3",14.7,"LENGTH_3",111,"T3","2021-09-29","Day_in_Exp_T3",62,1.0748513305124,"20",2021-09-29,0.875983538937852,-0.0151991909667653
"220",220,"00186D1655","202","WEIGHT_4",28.8,"LENGTH_4",135,"T4","2021-11-04","Day_in_Exp_T4",98,1.1705532693187,"20",2021-11-04,0.938237553728187,-0.0143293712274536
"221",221,"00186D1655","202","WEIGHT_5",58.5,"LENGTH_5",169,"T5","2021-12-09","Day_in_Exp_T5",133,1.21198083454307,"20",2021-12-09,0.953071279348882,0.0160842066521999
"222",222,"00186D1655","202","WEIGHT_6",71.8,"LENGTH_6",186,"T6","2022-01-06","Day_in_Exp_T6",161,1.1157980846813,"20",2022-01-06,0.870316087392097,-0.0559042205567616
"224",224,"00186D1655","202","WEIGHT_8",140.2,"LENGTH_8",225,"T8","2022-03-30","Day_in_Exp_T8",244,1.23083676268861,"20",2022-03-30,0.944636984831742,0.0251696644504699
"225",225,"00186D1656","202","WEIGHT_1",2,"LENGTH_1",57,"T1","2021-07-29","Day_in_Exp_T1",0,1.07995442592323,"20",2021-07-29,0.931442533910014,0.0055863630625792
"226",226,"00186D1656","202","WEIGHT_2",5.6,"LENGTH_2",79,"T2","2021-08-30","Day_in_Exp_T2",20,1.13581278560114,"20",2021-08-30,0.952814703433504,-0.0269576847867975
"227",227,"00186D1656","202","WEIGHT_3",9.9,"LENGTH_3",95,"T3","2021-09-29","Day_in_Exp_T3",62,1.15468727219711,"20",2021-09-29,0.953581621538376,0.0274974179276052
"228",228,"00186D1656","202","WEIGHT_4",25.9,"LENGTH_4",129,"T4","2021-11-04","Day_in_Exp_T4",98,1.20650918693858,"20",2021-11-04,0.970801654491335,-0.0166667441704588
"229",229,"00186D1656","202","WEIGHT_5",51,"LENGTH_5",160,"T5","2021-12-09","Day_in_Exp_T5",133,1.2451171875,"20",2021-12-09,0.983694016236139,0.0118054698333029
"230",230,"00186D1656","202","WEIGHT_6",74.7,"LENGTH_6",180,"T6","2022-01-06","Day_in_Exp_T6",161,1.28086419753086,"20",2022-01-06,1.00185512363387,0.0407333419788614
"233",233,"00186D1657","152","WEIGHT_1",3.6,"LENGTH_1",69,"T1","2021-07-29","Day_in_Exp_T1",0,1.09586038738665,"15",2021-07-29,0.929935989827793,0.00424126167727124
"234",234,"00186D1657","152","WEIGHT_2",8.7,"LENGTH_2",92,"T2","2021-08-24","Day_in_Exp_T2",20,1.11726391057779,"15",2021-08-24,0.925196125237044,0.0114274338091293
"241",241,"00186D1658","152","WEIGHT_1",1.9,"LENGTH_1",58,"T1","2021-07-29","Day_in_Exp_T1",0,0.973799663782853,"15",2021-07-29,0.838645152074227,-0.0526106170673285
"242",242,"00186D1658","152","WEIGHT_2",3.9,"LENGTH_2",73,"T2","2021-08-24","Day_in_Exp_T2",20,1.00252688185863,"15",2021-08-24,0.846668853359894,-0.0326608790590539
"249",249,"00186D1659","202","WEIGHT_1",2.1,"LENGTH_1",57,"T1","2021-07-29","Day_in_Exp_T1",0,1.13395214721939,"20",2021-07-29,0.978014660605515,0.062183341856123
"250",250,"00186D1659","202","WEIGHT_2",4.9,"LENGTH_2",77,"T2","2021-08-30","Day_in_Exp_T2",20,1.07330685843083,"20",2021-08-30,0.902344120439669,-0.0674034156825897
"251",251,"00186D1659","202","WEIGHT_3",4,"LENGTH_3",76,"T3","2021-09-29","Day_in_Exp_T3",62,0.911211546872722,"20",2021-09-29,0.766919992133877,-0.149139359378851
"252",252,"00186D1659","202","WEIGHT_4",7.5,"LENGTH_4",85,"T4","2021-11-04","Day_in_Exp_T4",98,1.22124974557297,"20",2021-11-04,1.01813150764182,0.0406879610780696
"253",253,"00186D1659","202","WEIGHT_5",21.9,"LENGTH_5",120,"T5","2021-12-09","Day_in_Exp_T5",133,1.26736111111111,"20",2021-12-09,1.02605341645456,0.0641897221497679
"254",254,"00186D1659","202","WEIGHT_6",41.3,"LENGTH_6",148,"T6","2022-01-06","Day_in_Exp_T6",161,1.27398673326358,"20",2022-01-06,1.01319411751368,0.0620971879567069
"257",257,"00186D165A","152","WEIGHT_1",2,"LENGTH_1",56,"T1","2021-07-29","Day_in_Exp_T1",0,1.13884839650146,"15",2021-07-29,0.983716446598266,0.0417763115794548
"258",258,"00186D165A","152","WEIGHT_2",5.6,"LENGTH_2",80,"T2","2021-08-30","Day_in_Exp_T2",20,1.09375,"15",2021-08-30,0.916548428543069,-0.0134656697531349
"259",259,"00186D165A","152","WEIGHT_3",12.9,"LENGTH_3",103,"T3","2021-09-29","Day_in_Exp_T3",62,1.18053274056558,"15",2021-09-29,0.968248587460995,0.034973153805406
"265",265,"00186D165B","202","WEIGHT_1",1.7,"LENGTH_1",53,"T1","2021-07-29","Day_in_Exp_T1",0,1.14188222492393,"20",2021-07-29,0.990963968173277,0.067534796341208
"266",266,"00186D165B","202","WEIGHT_2",2.9,"LENGTH_2",63,"T2","2021-08-30","Day_in_Exp_T2",20,1.15978196099133,"20",2021-08-30,0.991818952364668,0.014473563159733
"267",267,"00186D165B","202","WEIGHT_3",4.5,"LENGTH_3",75,"T3","2021-09-29","Day_in_Exp_T3",62,1.06666666666667,"20",2021-09-29,0.898769893456764,-0.0248873111386411
"268",268,"00186D165B","202","WEIGHT_4",13.3,"LENGTH_4",105,"T4","2021-11-04","Day_in_Exp_T4",98,1.14890400604686,"20",2021-11-04,0.940768252961414,-0.0442731466850144
"269",269,"00186D165B","202","WEIGHT_5",24.6,"LENGTH_5",126,"T5","2021-12-09","Day_in_Exp_T5",133,1.22976880346495,"20",2021-12-09,0.991498303435903,0.022036756048433
"273",273,"00186D165C","201","WEIGHT_1",2.2,"LENGTH_1",57,"T1","2021-07-29","Day_in_Exp_T1",0,1.18794986851555,"20",2021-07-29,1.02458678730102,0.030643087826547
"274",274,"00186D165C","201","WEIGHT_2",4.5,"LENGTH_2",71,"T2","2021-08-30","Day_in_Exp_T2",20,1.25729580817578,"20",2021-08-30,1.06434030358363,0.0164803867362928
"275",275,"00186D165C","201","WEIGHT_3",8.2,"LENGTH_3",88,"T3","2021-09-29","Day_in_Exp_T3",62,1.20327761081893,"20",2021-09-29,1.00019529854794,0.00602356631013645
"276",276,"00186D165C","201","WEIGHT_4",22.4,"LENGTH_4",118,"T4","2021-11-04","Day_in_Exp_T4",98,1.36333315480161,"20",2021-11-04,1.10533017391296,0.0497742466241318
"277",277,"00186D165C","201","WEIGHT_5",42,"LENGTH_5",146,"T5","2021-12-09","Day_in_Exp_T5",133,1.34955541788662,"20",2021-12-09,1.0745354065268,0.0345593314969284
"278",278,"00186D165C","201","WEIGHT_6",55.6,"LENGTH_6",157,"T6","2022-01-06","Day_in_Exp_T6",161,1.43673223006424,"20",2022-01-06,1.13690549064771,0.107696180365666
"280",280,"00186D165C","201","WEIGHT_8",94.2,"LENGTH_8",193,"T8","2022-03-30","Day_in_Exp_T8",244,1.31032484510834,"20",2022-03-30,1.01884144823758,-0.00361487447688158
"281",281,"00186D165E","201","WEIGHT_1",2.1,"LENGTH_1",58,"T1","2021-07-29","Day_in_Exp_T1",0,1.07630489154947,"20",2021-07-29,0.926923589134672,-0.00102581384628864
"282",282,"00186D165E","201","WEIGHT_2",4,"LENGTH_2",71,"T2","2021-08-30","Day_in_Exp_T2",20,1.11759627393402,"20",2021-08-30,0.946080269852114,-0.0357853505017128
"283",283,"00186D165E","201","WEIGHT_3",5.7,"LENGTH_3",80,"T3","2021-09-29","Day_in_Exp_T3",62,1.11328125,"20",2021-09-29,0.932915364767052,0.00473792902275583
"284",284,"00186D165E","201","WEIGHT_4",9.4,"LENGTH_4",90,"T4","2021-11-04","Day_in_Exp_T4",98,1.28943758573388,"20",2021-11-04,1.06976826920425,0.0802066384089283
"289",289,"00186D165F","201","WEIGHT_1",2.6,"LENGTH_1",62,"T1","2021-07-29","Day_in_Exp_T1",0,1.09093350340707,"20",2021-07-29,0.934211019843522,-0.00186770564681105
"290",290,"00186D165F","201","WEIGHT_2",6.6,"LENGTH_2",83,"T2","2021-08-30","Day_in_Exp_T2",20,1.1542759803913,"20",2021-08-30,0.964246387683658,-0.0257485551795409
"291",291,"00186D165F","201","WEIGHT_3",14,"LENGTH_3",110,"T3","2021-09-29","Day_in_Exp_T3",62,1.05184072126221,"20",2021-09-29,0.857889993018265,-0.0784167652354034
"292",292,"00186D165F","201","WEIGHT_4",28.2,"LENGTH_4",132,"T4","2021-11-04","Day_in_Exp_T4",98,1.22610401536021,"20",2021-11-04,0.984642394143547,-0.0130485591611451
"293",293,"00186D165F","201","WEIGHT_5",61.1,"LENGTH_5",160,"T5","2021-12-09","Day_in_Exp_T5",133,1.49169921875,"20",2021-12-09,1.17850400768682,0.196392906641091
"294",294,"00186D165F","201","WEIGHT_6",92.2,"LENGTH_6",195,"T6","2022-01-06","Day_in_Exp_T6",161,1.24344645054704,"20",2022-01-06,0.965993368469211,-0.00535096782870004
"297",297,"00186D1660","201","WEIGHT_1",3,"LENGTH_1",63,"T1","2021-07-29","Day_in_Exp_T1",0,1.19977444240483,"20",2021-07-29,1.02601960589448,0.0965394408983408
"298",298,"00186D1660","201","WEIGHT_2",4.9,"LENGTH_2",76,"T2","2021-08-25","Day_in_Exp_T2",20,1.11623414491908,"20",2021-08-25,0.939476990363999,-0.0439193920050113
"305",305,"00186D1661","202","WEIGHT_1",2.6,"LENGTH_1",63,"T1","2021-07-29","Day_in_Exp_T1",0,1.03980451675085,"20",2021-07-29,0.88921699177522,0.00515282948263629
"306",306,"00186D1661","202","WEIGHT_2",5.5,"LENGTH_2",78,"T2","2021-08-30","Day_in_Exp_T2",20,1.15898784537838,"20",2021-08-30,0.973309226271186,0.035328846605736
"307",307,"00186D1661","202","WEIGHT_3",8.7,"LENGTH_3",90,"T3","2021-09-29","Day_in_Exp_T3",62,1.19341563786008,"20",2021-09-29,0.990104674689038,0.105812479633118
"308",308,"00186D1661","202","WEIGHT_4",14.5,"LENGTH_4",109,"T4","2021-11-04","Day_in_Exp_T4",98,1.11966604608854,"20",2021-11-04,0.913918052745055,-0.0317583373618874
"309",309,"00186D1661","202","WEIGHT_5",22.7,"LENGTH_5",129,"T5","2021-12-09","Day_in_Exp_T5",133,1.05744241480718,"20",2021-12-09,0.850857048531016,-0.0792394893169687
"310",310,"00186D1661","202","WEIGHT_6",30.1,"LENGTH_6",142,"T6","2022-01-06","Day_in_Exp_T6",161,1.05123899516919,"20",2022-01-06,0.838990325919788,-0.0803394471803731
"312",312,"00186D1661","202","WEIGHT_8",65.4,"LENGTH_8",180,"T8","2022-03-30","Day_in_Exp_T8",244,1.12139917695473,"20",2022-03-30,0.877126172498733,-0.035450613033842
"313",313,"00186D1662","201","WEIGHT_1",2,"LENGTH_1",58,"T1","2021-07-29","Day_in_Exp_T1",0,1.02505227766616,"20",2021-07-29,0.882784370604449,-0.00635580377617306
"314",314,"00186D1662","201","WEIGHT_2",4,"LENGTH_2",70,"T2","2021-08-30","Day_in_Exp_T2",20,1.16618075801749,"20",2021-08-30,0.988399547451302,0.0453431556978133
"315",315,"00186D1662","201","WEIGHT_3",3.3,"LENGTH_3",70,"T3","2021-09-29","Day_in_Exp_T3",62,0.962099125364431,"20",2021-09-29,0.815429626647324,-0.0739385804966342
"316",316,"00186D1662","201","WEIGHT_4",4.5,"LENGTH_4",76,"T4","2021-11-04","Day_in_Exp_T4",98,1.02511299023181,"20",2021-11-04,0.862784991150611,-0.0879674110443701
"317",317,"00186D1662","201","WEIGHT_5",9.7,"LENGTH_5",93,"T5","2021-12-09","Day_in_Exp_T5",133,1.20593219180041,"20",2021-12-09,0.997704286197189,0.0625317362611657
"318",318,"00186D1662","201","WEIGHT_6",17.8,"LENGTH_6",117,"T6","2022-01-06","Day_in_Exp_T6",161,1.11137959045038,"20",2022-01-06,0.901709445174789,-0.0226963400134109
"320",320,"00186D1662","201","WEIGHT_8",60.6,"LENGTH_8",172,"T8","2022-03-30","Day_in_Exp_T8",244,1.19093287383501,"20",2022-03-30,0.935120042700489,0.0174672450798756
"321",321,"00186D1663","202","WEIGHT_1",1.5,"LENGTH_1",52,"T1","2021-07-29","Day_in_Exp_T1",0,1.0667956304051,"20",2021-07-29,0.927301460809426,0.0118599394860557
"322",322,"00186D1663","202","WEIGHT_2",3.1,"LENGTH_2",65,"T2","2021-08-30","Day_in_Exp_T2",20,1.12881201638598,"20",2021-08-30,0.962773191025285,-0.00658454767095118
"323",323,"00186D1663","202","WEIGHT_3",4,"LENGTH_3",71,"T3","2021-09-29","Day_in_Exp_T3",62,1.11759627393402,"20",2021-09-29,0.946080269852114,0.0304107157654075
"324",324,"00186D1663","202","WEIGHT_4",7.3,"LENGTH_4",84,"T4","2021-11-04","Day_in_Exp_T4",98,1.23164345103121,"20",2021-11-04,1.02782993616081,0.0507761870230785
"325",325,"00186D1663","202","WEIGHT_5",12.6,"LENGTH_5",103,"T5","2021-12-09","Day_in_Exp_T5",133,1.15307849078498,"20",2021-12-09,0.945731178450274,-0.0157427184284967
"326",326,"00186D1663","202","WEIGHT_6",15.3,"LENGTH_6",112,"T6","2022-01-06","Day_in_Exp_T6",161,1.08902377915452,"20",2022-01-06,0.886857474987104,-0.0638496571438439
"328",328,"00186D1663","202","WEIGHT_8",40.3,"LENGTH_8",150,"T8","2022-03-30","Day_in_Exp_T8",244,1.19407407407407,"20",2022-03-30,0.948557171751856,0.00460302718849392
"329",329,"00186D1664","151","WEIGHT_1",1.5,"LENGTH_1",50,"T1","2021-07-29","Day_in_Exp_T1",0,1.2,"15",2021-07-29,1.04657123907477,0.078591304614394
"330",330,"00186D1664","151","WEIGHT_2",3.3,"LENGTH_2",68,"T2","2021-08-30","Day_in_Exp_T2",20,1.04951150010177,"15",2021-08-30,0.891710630661244,-0.0643432670765262
"331",331,"00186D1664","151","WEIGHT_3",9.2,"LENGTH_3",93,"T3","2021-09-29","Day_in_Exp_T3",62,1.14377073861482,"15",2021-09-29,0.946276230207643,-0.0130390028895133
"332",332,"00186D1664","151","WEIGHT_4",18.4,"LENGTH_4",116,"T4","2021-11-04","Day_in_Exp_T4",98,1.17881011931609,"15",2021-11-04,0.957116771129619,-0.00691988106708141
"333",333,"00186D1664","151","WEIGHT_5",34.9,"LENGTH_5",141,"T5","2021-12-09","Day_in_Exp_T5",133,1.24499638094892,"15",2021-12-09,0.994224507916675,0.0278111866197166
"334",334,"00186D1664","151","WEIGHT_6",66.8,"LENGTH_6",172,"T6","2022-01-06","Day_in_Exp_T6",161,1.31277749129008,"15",2022-01-06,1.03079239030351,0.0743198722294321
"336",336,"00186D1664","151","WEIGHT_8",178.8,"LENGTH_8",240,"T8","2022-03-30","Day_in_Exp_T8",244,1.29340277777778,"15",2022-03-30,0.98722429325244,0.0431859350036858
"337",337,"00186D1665","151","WEIGHT_1",3,"LENGTH_1",65,"T1","2021-07-29","Day_in_Exp_T1",0,1.09239872553482,"15",2021-07-29,0.931715991314792,0.0280090023898464
"338",338,"00186D1665","151","WEIGHT_2",7.4,"LENGTH_2",89,"T2","2021-08-30","Day_in_Exp_T2",20,1.04969154672049,"15",2021-08-30,0.871692981471026,-0.0200879707313123
"339",339,"00186D1665","151","WEIGHT_3",18.8,"LENGTH_3",120,"T3","2021-09-29","Day_in_Exp_T3",62,1.08796296296296,"15",2021-09-29,0.880812978508938,-0.0142293090527861
"340",340,"00186D1665","151","WEIGHT_4",37.1,"LENGTH_4",150,"T4","2021-11-04","Day_in_Exp_T4",98,1.09925925925926,"15",2021-11-04,0.873237495582974,-0.026526211078295
"341",341,"00186D1665","151","WEIGHT_5",72.5,"LENGTH_5",185,"T5","2021-12-09","Day_in_Exp_T5",133,1.14504570311729,"15",2021-12-09,0.893538406807281,-0.00860196895424592
"342",342,"00186D1665","151","WEIGHT_6",109.3,"LENGTH_6",212,"T6","2022-01-06","Day_in_Exp_T6",161,1.14712984544288,"15",2022-01-06,0.884858915403295,-0.00734065713535081
"345",345,"00186D1666","151","WEIGHT_1",3.1,"LENGTH_1",65,"T1","2021-07-29","Day_in_Exp_T1",0,1.12881201638598,"15",2021-07-29,0.962773191025285,0.01869246699495
"346",346,"00186D1666","151","WEIGHT_2",8.4,"LENGTH_2",90,"T2","2021-08-30","Day_in_Exp_T2",20,1.1522633744856,"15",2021-08-30,0.955963134182519,0.0238084468747909
"347",347,"00186D1666","151","WEIGHT_3",23.3,"LENGTH_3",125,"T3","2021-09-29","Day_in_Exp_T3",62,1.19296,"15",2021-09-29,0.962472946130861,0.0270569234637468
"353",353,"00186D1667","152","WEIGHT_1",2.5,"LENGTH_1",61,"T1","2021-07-29","Day_in_Exp_T1",0,1.10141377472123,"15",2021-07-29,0.944490225245145,0.0448329464037234
"354",354,"00186D1667","152","WEIGHT_2",6,"LENGTH_2",85,"T2","2021-08-30","Day_in_Exp_T2",20,0.976999796458376,"15",2021-08-30,0.814505206113456,-0.073226036005358
"355",355,"00186D1667","152","WEIGHT_3",17.2,"LENGTH_3",116,"T3","2021-09-29","Day_in_Exp_T3",62,1.10193119849112,"15",2021-09-29,0.894696112142905,0.00370353466470508
"356",356,"00186D1667","152","WEIGHT_4",32.9,"LENGTH_4",145,"T4","2021-11-04","Day_in_Exp_T4",98,1.07917503792693,"15",2021-11-04,0.859756783409844,-0.0359572131679008
"361",361,"00186D1668","201","WEIGHT_1",1.2,"LENGTH_1",51,"T1","2021-07-29","Day_in_Exp_T1",0,0.904629441165163,"20",2021-07-29,0.787639073751106,-0.0909365783517522
"362",362,"00186D1668","201","WEIGHT_2",2.5,"LENGTH_2",62,"T2","2021-08-30","Day_in_Exp_T2",20,1.0489745225068,"20",2021-08-30,0.898279826772617,-0.0342120427031075
"363",363,"00186D1668","201","WEIGHT_3",3.7,"LENGTH_3",70,"T3","2021-09-29","Day_in_Exp_T3",62,1.07871720116618,"20",2021-09-29,0.914269581392454,0.0354658965262601
"364",364,"00186D1668","201","WEIGHT_4",5.6,"LENGTH_4",78,"T4","2021-11-04","Day_in_Exp_T4",98,1.18006035165798,"20",2021-11-04,0.991005757657935,0.0508178777407177
"365",365,"00186D1668","201","WEIGHT_5",9,"LENGTH_5",95,"T5","2021-12-09","Day_in_Exp_T5",133,1.04971570199738,"20",2021-12-09,0.866892383216706,-0.0577156444415534
"369",369,"00186D1669","201","WEIGHT_1",1.4,"LENGTH_1",50,"T1","2021-07-29","Day_in_Exp_T1",0,1.12,"20",2021-07-29,0.976799823136454,0.0798050657410296
"370",370,"00186D1669","201","WEIGHT_2",2.7,"LENGTH_2",62,"T2","2021-08-30","Day_in_Exp_T2",20,1.13289248430734,"20",2021-08-30,0.970142212914426,0.019231238146136
"371",371,"00186D1669","201","WEIGHT_3",2,"LENGTH_3",61,"T3","2021-09-29","Day_in_Exp_T3",62,0.881131019776986,"20",2021-09-29,0.755592180196116,-0.141630609962644
"377",377,"00186D166A","152","WEIGHT_1",2.3,"LENGTH_1",59,"T1","2021-07-29","Day_in_Exp_T1",0,1.11988080572989,"15",2021-07-29,0.963051207484969,0.0467480785510255
"378",378,"00186D166A","152","WEIGHT_2",4.6,"LENGTH_2",75,"T2","2021-08-30","Day_in_Exp_T2",20,1.09037037037037,"15",2021-08-30,0.918742557755803,0.0143654655444665
"379",379,"00186D166A","152","WEIGHT_3",9.6,"LENGTH_3",95,"T3","2021-09-29","Day_in_Exp_T3",62,1.1196967487972,"15",2021-09-29,0.924685208764486,0.0170467811937639
"380",380,"00186D166A","152","WEIGHT_4",15.1,"LENGTH_4",112,"T4","2021-11-04","Day_in_Exp_T4",98,1.07478817419825,"15",2021-11-04,0.875264566817338,-0.0370952798529286
"381",381,"00186D166A","152","WEIGHT_5",21,"LENGTH_5",125,"T5","2021-12-09","Day_in_Exp_T5",133,1.0752,"15",2021-12-09,0.867464887070733,-0.0472716286997918
"382",382,"00186D166A","152","WEIGHT_6",27.6,"LENGTH_6",135,"T6","2022-01-06","Day_in_Exp_T6",161,1.12178021643042,"15",2022-01-06,0.899144322322845,-0.0056513902247981
"385",385,"00186D166B","201","WEIGHT_1",1.7,"LENGTH_1",56,"T1","2021-07-29","Day_in_Exp_T1",0,0.968021137026239,"20",2021-07-29,0.836158979608526,-0.0909663072905337
"386",386,"00186D166B","201","WEIGHT_2",4.5,"LENGTH_2",75,"T2","2021-08-30","Day_in_Exp_T2",20,1.06666666666667,"20",2021-08-30,0.898769893456764,-0.082271610815162
"387",387,"00186D166B","201","WEIGHT_3",7.8,"LENGTH_3",88,"T3","2021-09-29","Day_in_Exp_T3",62,1.1445811419985,"20",2021-09-29,0.951405283984627,0.0240519643222316
"388",388,"00186D166B","201","WEIGHT_4",19.8,"LENGTH_4",115,"T4","2021-11-04","Day_in_Exp_T4",98,1.30188214021534,"20",2021-11-04,1.05782141000917,0.0690838952957481
"389",389,"00186D166B","201","WEIGHT_5",32.5,"LENGTH_5",137,"T5","2021-12-09","Day_in_Exp_T5",133,1.26392603427067,"20",2021-12-09,1.01181336409944,0.0386557016449759
"390",390,"00186D166B","201","WEIGHT_6",47.4,"LENGTH_6",153,"T6","2022-01-06","Day_in_Exp_T6",161,1.32343936763052,"20",2022-01-06,1.04955518290293,0.0871642851962906
"393",393,"00186D166C","152","WEIGHT_1",3.4,"LENGTH_1",68,"T1","2021-07-29","Day_in_Exp_T1",0,1.08131487889273,"15",2021-07-29,0.918732164923706,0.0218276251085866
"394",394,"00186D166C","152","WEIGHT_2",9.6,"LENGTH_2",96,"T2","2021-08-30","Day_in_Exp_T2",20,1.08506944444444,"15",2021-08-30,0.895291536780082,0.0103130336875698
"395",395,"00186D166C","152","WEIGHT_3",22.6,"LENGTH_3",128,"T3","2021-09-29","Day_in_Exp_T3",62,1.07765197753906,"15",2021-09-29,0.867692178712083,-0.0205476597398146
"396",396,"00186D166C","152","WEIGHT_4",49.1,"LENGTH_4",168,"T4","2021-11-04","Day_in_Exp_T4",98,1.03550844941151,"15",2021-11-04,0.81470870746374,-0.0782525500877023
"397",397,"00186D166C","152","WEIGHT_5",88.2,"LENGTH_5",202,"T5","2021-12-09","Day_in_Exp_T5",133,1.07007563809023,"15",2021-12-09,0.828818832109478,-0.0665190945422228
"398",398,"00186D166C","152","WEIGHT_6",118.5,"LENGTH_6",212,"T6","2022-01-06","Day_in_Exp_T6",161,1.2436860629916,"15",2022-01-06,0.959339263268897,0.0739421398400776
"400",400,"00186D166C","152","WEIGHT_8",321,"LENGTH_8",303,"T8","2022-03-30","Day_in_Exp_T8",244,1.1539238425362,"15",2022-03-30,0.863484454898054,-0.00947850870544142
"401",401,"00186D166D","152","WEIGHT_1",2.7,"LENGTH_1",63,"T1","2021-07-29","Day_in_Exp_T1",0,1.07979699816435,"15",2021-07-29,0.923417645305036,-0.0324782700353848
"402",402,"00186D166D","152","WEIGHT_2",7.9,"LENGTH_2",89,"T2","2021-08-30","Day_in_Exp_T2",20,1.12061665122864,"15",2021-08-30,0.930591155894745,-0.0133787227230692
"403",403,"00186D166D","152","WEIGHT_3",21.1,"LENGTH_3",120,"T3","2021-09-29","Day_in_Exp_T3",62,1.22106481481481,"15",2021-09-29,0.988572013113755,0.0413407991365558
"404",404,"00186D166D","152","WEIGHT_4",42.2,"LENGTH_4",152,"T4","2021-11-04","Day_in_Exp_T4",98,1.2016602274384,"15",2021-11-04,0.953509407322783,0.00155677424603895
"405",405,"00186D166D","152","WEIGHT_5",81.6,"LENGTH_5",185,"T5","2021-12-09","Day_in_Exp_T5",133,1.2887686810258,"15",2021-12-09,1.00569288269619,0.051363580519193
"406",406,"00186D166D","152","WEIGHT_6",124.3,"LENGTH_6",215,"T6","2022-01-06","Day_in_Exp_T6",161,1.25070748487555,"15",2022-01-06,0.963603746348185,0.0192152473940642
"408",408,"00186D166D","152","WEIGHT_8",301.3,"LENGTH_8",286,"T8","2022-03-30","Day_in_Exp_T8",244,1.28795601679361,"15",2022-03-30,0.968522957370251,0.0365686182414543
"409",409,"00186D166E","202","WEIGHT_1",2.6,"LENGTH_1",61,"T1","2021-07-29","Day_in_Exp_T1",0,1.14547032571008,"20",2021-07-29,0.982269834254951,0.0947821174626818
"410",410,"00186D166E","202","WEIGHT_2",4.2,"LENGTH_2",71,"T2","2021-08-30","Day_in_Exp_T2",20,1.17347608763072,"20",2021-08-30,0.99338428334472,0.0519803491795839
"411",411,"00186D166E","202","WEIGHT_3",4.8,"LENGTH_3",78,"T3","2021-09-29","Day_in_Exp_T3",62,1.01148030142113,"20",2021-09-29,0.849433506563944,-0.0382822429916609
"412",412,"00186D166E","202","WEIGHT_4",7.1,"LENGTH_4",86,"T4","2021-11-04","Day_in_Exp_T4",98,1.11625391474964,"20",2021-11-04,0.929673874402764,-0.0194260702038641
"413",413,"00186D166E","202","WEIGHT_5",11.2,"LENGTH_5",102,"T5","2021-12-09","Day_in_Exp_T5",133,1.05540101469269,"20",2021-12-09,0.866336261720426,-0.0671838306272435
"414",414,"00186D166E","202","WEIGHT_6",16.3,"LENGTH_6",115,"T6","2022-01-06","Day_in_Exp_T6",161,1.07175145886414,"20",2022-01-06,0.870832776926738,-0.0519205506731087
"416",416,"00186D166E","202","WEIGHT_8",37.2,"LENGTH_8",150,"T8","2022-03-30","Day_in_Exp_T8",244,1.10222222222222,"20",2022-03-30,0.875591235463252,-0.0404091045690091
"417",417,"00186D166F","202","WEIGHT_1",2.5,"LENGTH_1",60,"T1","2021-07-29","Day_in_Exp_T1",0,1.15740740740741,"20",2021-07-29,0.993901626321763,0.109592758522384
"418",418,"00186D166F","202","WEIGHT_2",6,"LENGTH_2",83,"T2","2021-08-30","Day_in_Exp_T2",20,1.04934180035573,"20",2021-08-30,0.876587625166962,-0.0616374600052837
